H6:,C2H2,(g),TD,10-01
D6:,0,300,3.06955,-11877.97292
D6:,300,350,3.06132,-11875.50144
D6:,350,400,3.04627,-11870.23697
D6:,400,450,3.03039,-11863.88168
D6:,450,500,3.01256,-11855.86166
D6:,500,550,2.99299,-11846.07315
D6:,550,600,2.97217,-11834.62601
D6:,600,650,2.95084,-11821.82293
D6:,650,700,2.92973,-11808.10604
D6:,700,750,2.90914,-11793.69450
D6:,750,800,2.88933,-11778.83148
D6:,800,850,2.87048,-11763.75046
D6:,850,900,2.85275,-11748.68746
D6:,900,950,2.83628,-11733.85935
D6:,950,1000,2.82082,-11719.16962
D6:,1000,1100,2.79994,-11698.29464
D6:,1100,1200,2.77545,-11671.35315
D6:,1200,1300,2.75437,-11646.06228
D6:,1300,1400,2.73614,-11622.36147
D6:,1400,1500,2.72024,-11600.10195
D6:,1500,1600,2.70605,-11578.81165
D6:,1600,1700,2.69368,-11559.01947
D6:,1700,1800,2.68222,-11539.54425
D6:,1800,1900,2.67185,-11520.87092
D6:,1900,2000,2.66220,-11502.53820
D6:,2000,2100,2.65322,-11484.58529
D6:,2100,2200,2.64459,-11466.45169
D6:,2200,2300,2.63637,-11448.36726
D6:,2300,2400,2.62863,-11430.55973
D6:,2400,2500,2.62093,-11412.09841
D6:,2500,2600,2.61353,-11393.58580
D6:,2600,2700,2.60618,-11374.47124
D6:,2700,2800,2.59893,-11354.90441
D6:,2800,2900,2.59181,-11334.97138
D6:,2900,3000,2.58473,-11314.42809
D6:,3000,3100,2.57780,-11293.65885
D6:,3100,3200,2.57076,-11271.82961
D6:,3200,3300,2.56373,-11249.34254
D6:,3300,3400,2.55666,-11225.98143
D6:,3400,3500,2.54985,-11202.85070
D6:,3500,3600,2.54291,-11178.56526
D6:,3600,3700,2.53577,-11152.85350
D6:,3700,3800,2.52887,-11127.31971
D6:,3800,3900,2.52177,-11100.34361
D6:,3900,4000,2.51486,-11073.39799
D6:,4000,4100,2.50777,-11045.03590
D6:,4100,4200,2.50064,-11015.80584
D6:,4200,4300,2.49382,-10987.16904
D6:,4300,4400,2.48675,-10956.74010
D6:,4400,4500,2.47976,-10926.00717
D6:,4500,4600,2.47276,-10894.49633
D6:,4600,4700,2.46593,-10863.07089
D6:,4700,4800,2.45906,-10830.77509
D6:,4800,4900,2.45213,-10797.52400
D6:,4900,5000,2.44535,-10764.27966
D6:,5000,5100,2.43871,-10731.08777
D6:,5100,5200,2.43210,-10697.37933
D6:,5200,5300,2.42528,-10661.92110
D6:,5300,5400,2.41929,-10630.16226
D6:,5400,5500,2.41249,-10593.46256
D6:,5500,5600,2.40629,-10559.35133
D6:,5600,5700,2.40034,-10526.04432
D6:,5700,5800,2.39440,-10492.20285
D6:,5800,5900,2.38847,-10457.80087
D6:,5900,6000,2.38266,-10423.52736
D6:,6000,6100,2.37765,-10393.41974
D6:,6100,6200,2.37170,-10357.14090
D6:,6200,6300,2.36710,-10328.63760
D6:,6300,6400,2.36182,-10295.39452
D6:,6400,6500,2.35724,-10266.06941
D6:,6500,6600,2.35266,-10236.31400
D6:,6600,6700,2.34809,-10206.10396
D6:,6700,6800,2.34424,-10180.33063
D6:,6800,6900,2.34056,-10155.27914
D6:,6900,7000,2.33658,-10127.87032
D6:,7000,7100,2.33305,-10103.15681
D6:,7100,7200,2.33032,-10083.76780
D6:,7200,7300,2.32713,-10060.76989
D6:,7300,7400,2.32442,-10041.01572
D6:,7400,7500,2.32221,-10024.63907
D6:,7500,7600,2.31968,-10005.70357
D6:,7600,7700,2.31815,-9994.07020
D6:,7700,7800,2.31616,-9978.70252
D6:,7800,7900,2.31466,-9967.05451
D6:,7900,8000,2.31353,-9958.10032
D6:,8000,8100,2.31276,-9951.96533
D6:,8100,8200,2.31220,-9947.39227
D6:,8200,8300,2.31147,-9941.41085
D6:,8300,8400,2.31127,-9939.78224
D6:,8400,8500,2.31149,-9941.56766
D6:,8500,8600,2.31150,-9941.68115
D6:,8600,8700,2.31191,-9945.21911
D6:,8700,8800,2.31290,-9953.81269
D6:,8800,8900,2.31391,-9962.66870
D6:,8900,9000,2.31452,-9968.13691
D6:,9000,9100,2.31631,-9984.28059
D6:,9100,9200,2.31812,-10000.76094
D6:,9200,9300,2.31974,-10015.64898
D6:,9300,9400,2.32154,-10032.35407
D6:,9400,9500,2.32335,-10049.35420
D6:,9500,9600,2.32617,-10076.17378
D6:,9600,9700,2.32879,-10101.36681
D6:,9700,9800,2.33097,-10122.45364
D6:,9800,9900,2.33442,-10156.29086
D6:,9900,30000,2.33656,-10177.44899
