H1:,H,(g),TD,01-00
D1:,0,300,2.57996,-11387.1918
D1:,300,350,2.60727,-11395.38631
D1:,350,400,2.65408,-11411.76987
D1:,400,450,2.69465,-11427.99911
D1:,450,500,2.73056,-11444.1576
D1:,500,550,2.76276,-11460.25658
D1:,550,600,2.79194,-11476.30692
D1:,600,650,2.81868,-11492.34982
D1:,650,700,2.84314,-11508.24871
D1:,700,750,2.86584,-11524.13893
D1:,750,800,2.88681,-11539.8674
D1:,800,850,2.90634,-11555.49164
D1:,850,900,2.92455,-11570.96643
D1:,900,950,2.94147,-11586.19194
D1:,950,1000,2.95737,-11601.30024
D1:,1000,1100,2.97917,-11623.09933
D1:,1100,1200,3.00531,-11651.85356
D1:,1200,1300,3.02838,-11679.53625
D1:,1300,1400,3.0488,-11706.08234
D1:,1400,1500,3.06694,-11731.48012
D1:,1500,1600,3.0831,-11755.72586
D1:,1600,1700,3.09761,-11778.93181
D1:,1700,1800,3.11051,-11800.86565
D1:,1800,1900,3.12224,-11821.98687
D1:,1900,2000,3.13273,-11841.92228
D1:,2000,2100,3.1423,-11861.04584
D1:,2100,2200,3.15095,-11879.21448
D1:,2200,2300,3.15879,-11896.45967
D1:,2300,2400,3.16605,-11913.16938
D1:,2400,2500,3.1725,-11928.63464
D1:,2500,2600,3.17854,-11943.73667
D1:,2600,2700,3.18407,-11958.12335
D1:,2700,2800,3.18909,-11971.66486
D1:,2800,2900,3.19368,-11984.54366
D1:,2900,3000,3.19795,-11996.90026
D1:,3000,3100,3.20191,-12008.78567
D1:,3100,3200,3.20545,-12019.77863
D1:,3200,3300,3.20884,-12030.60694
D1:,3300,3400,3.21185,-12040.54949
D1:,3400,3500,3.21463,-12049.99574
D1:,3500,3600,3.21716,-12058.84722
D1:,3600,3700,3.21961,-12067.69208
D1:,3700,3800,3.2217,-12075.39898
D1:,3800,3900,3.22369,-12082.97692
D1:,3900,4000,3.22557,-12090.29067
D1:,4000,4100,3.2271,-12096.4303
D1:,4100,4200,3.2285,-12102.17761
D1:,4200,4300,3.22995,-12108.25222
D1:,4300,4400,3.23106,-12113.03093
D1:,4400,4500,3.2322,-12118.02936
D1:,4500,4600,3.233,-12121.62673
D1:,4600,4700,3.23383,-12125.47185
D1:,4700,4800,3.23458,-12128.9669
D1:,4800,4900,3.23521,-12132.02534
D1:,4900,5000,3.23565,-12134.14162
D1:,5000,5100,3.23601,-12135.95599
D1:,5100,5200,3.23637,-12137.79023
D1:,5200,5300,3.23665,-12139.23767
D1:,5300,5400,3.23685,-12140.33954
D1:,5400,5500,3.23689,-12140.53524
D1:,5500,5600,3.23683,-12140.18774
D1:,5600,5700,3.23691,-12140.66906
D1:,5700,5800,3.23689,-12140.55083
D1:,5800,5900,3.2368,-12140.03987
D1:,5900,6000,3.23655,-12138.56006
D1:,6000,6100,3.23647,-12138.03291
D1:,6100,6200,3.2363,-12137.04977
D1:,6200,6300,3.23607,-12135.56714
D1:,6300,6400,3.23571,-12133.33511
D1:,6400,6500,3.2355,-12131.95801
D1:,6500,6600,3.23533,-12130.9011
D1:,6600,6700,3.235,-12128.67529
D1:,6700,6800,3.23471,-12126.78237
D1:,6800,6900,3.23448,-12125.21138
D1:,6900,7000,3.23412,-12122.72072
D1:,7000,7100,3.23398,-12121.70267
D1:,7100,7200,3.2338,-12120.43648
D1:,7200,7300,3.23339,-12117.49763
D1:,7300,7400,3.23342,-12117.75
D1:,7400,7500,3.23309,-12115.29851
D1:,7500,7600,3.23306,-12115.01956
D1:,7600,7700,3.23293,-12114.04562
D1:,7700,7800,3.23268,-12112.15289
D1:,7800,7900,3.23285,-12113.46116
D1:,7900,8000,3.23259,-12111.4006
D1:,8000,8100,3.23276,-12112.73575
D1:,8100,8200,3.23285,-12113.48698
D1:,8200,8300,3.23285,-12113.52608
D1:,8300,8400,3.23316,-12116.08872
D1:,8400,8500,3.23302,-12114.90512
D1:,8500,8600,3.23336,-12117.79094
D1:,8600,8700,3.23385,-12121.9594
D1:,8700,8800,3.23389,-12122.30787
D1:,8800,8900,3.23445,-12127.23627
D1:,8900,9000,3.23447,-12127.4718
D1:,9000,9100,3.23522,-12134.24385
D1:,9100,9200,3.23564,-12138.02114
D1:,9200,9300,3.23601,-12141.43853
D1:,9300,9400,3.23675,-12148.28997
D1:,9400,9500,3.23735,-12153.94771
D1:,9500,9600,3.2378,-12158.2489
D1:,9600,9700,3.23886,-12168.44101
D1:,9700,9800,3.23925,-12172.19214
D1:,9800,9900,3.24015,-12180.97973
D1:,9900,10000,3.24103,-12189.76021
D1:,10000,12000,3.25197,-12302.54417
D1:,12000,14000,3.28213,-12665.03661
D1:,14000,16000,3.3199,-13193.62097
D1:,16000,18000,3.36087,-13848.70191
D1:,18000,30000,3.4025,-14597.26462
